"probe_id" "gene_id"
"591" "1553125_x_at" "284403"
"592" "1553126_a_at" "221074"
"593" "1553127_a_at" "165918"
"594" "1553129_at" "79987"
"595" "1553130_at" "652276"
"596" "1553131_a_at" "2626"
"597" "1553132_a_at" "123036"
"598" "1553133_at" "203228"
"599" "1553134_s_at" "203228"
"600" "1553136_at" "130535"
"601" "1553137_s_at" "8462"
"602" "1553138_a_at" "126549"
"603" "1553139_s_at" "55558"
"604" "1553140_at" "53918"
"605" "1553141_at" "144811"
"606" "1553142_at" "144811"
"607" "1553145_at" "202020"
"608" "1553146_at" "152405"
"609" "1553147_at" "202151"
"610" "1553148_a_at" "23161"
"611" "1553150_at" "221656"
"612" "1553151_at" "245972"
"613" "1553153_at" "245972"
"614" "1553155_x_at" "245972"
"615" "1553156_at" "89884"
"616" "1553157_at" "89884"
"617" "1553158_at" "84984"
"618" "1553159_at" "8701"
"619" "1553162_x_at" "148137"
"620" "1553163_at" "113622"
"621" "1553165_at" "11276"
"622" "1553166_at" "64403"
"623" "1553167_a_at" "51091"
"624" "1553168_at" "2901"
"625" "1553169_at" "164312"
"626" "1553171_x_at" "164312"
"627" "1553172_at" "27153"
"628" "1553174_at" "57158"
"629" "1553175_s_at" "8654"
"630" "1553176_at" "117157"
"631" "1553177_at" "117157"
"632" "1553178_a_at" "6753"
"633" "1553179_at" "171019"
"634" "1553180_at" "171019"
"635" "1553181_at" "64794"
"636" "1553183_at" "89766"
"637" "1553185_at" "158158"
"638" "1553186_x_at" "158158"
"639" "1553188_s_at" "117583"
"640" "1553190_s_at" "117583"
"641" "1553191_at" "667"
"642" "1553192_at" "126068"
"643" "1553193_at" "126068"
"644" "1553194_at" "257194"
"645" "1553196_a_at" "115352"
"646" "1553197_at" "138009"
"647" "1553199_at" "138009"
"648" "1553202_at" "219736"
"649" "1553204_at" "253868"
"650" "1553205_at" "253868"
"651" "1553207_at" "285598"
"652" "1553208_s_at" "285598"
"653" "1553209_at" "84900"
"654" "1553211_at" "162282"
"655" "1553212_at" "196374"
"656" "1553213_a_at" "196374"
"657" "1553214_a_at" "221016"
"658" "1553215_s_at" "221016"
"659" "1553216_at" "7592"
"660" "1553217_s_at" "7592"
"661" "1553218_a_at" "84450"
"662" "1553219_a_at" "9949"
"663" "1553220_at" "150864"
"664" "1553221_at" "147949"
"665" "1553222_at" "165140"
"666" "1553224_at" "7798"
"667" "1553225_s_at" "7626"
"668" "1553226_at" "145978"
"669" "1553227_s_at" "54014"
"670" "1553228_at" "220388"
"671" "1553229_at" "137209"
"672" "1553232_at" "151393"
"673" "1553234_at" "170692"
"674" "1553235_at" "56135"
"675" "1553237_x_at" "56135"
"676" "1553238_a_at" "147746"
"677" "1553239_at" "220108"
"678" "1553241_at" "286183"
"679" "1553243_at" "80760"
"680" "1553244_at" "2187"
"681" "1553246_a_at" "84197"
"682" "1553247_a_at" "163051"
"683" "1553248_at" "284001"
"684" "1553249_at" "27127"
"685" "1553252_a_at" "254065"
"686" "1553253_at" "92591"
"687" "1553254_at" "139599"
"688" "1553255_at" "147664"
"689" "1553257_at" "89792"
"690" "1553258_at" "146512"
"691" "1553260_s_at" "151254"
"692" "1553261_x_at" "151254"
"693" "1553262_a_at" "2837"
"694" "1553263_at" "124590"
"695" "1553264_a_at" "6853"
"696" "1553265_at" "151295"
"697" "1553266_at" "246175"
"698" "1553267_a_at" "246175"
"699" "1553268_at" "162494"
"700" "1553269_at" "255403"
"701" "1553271_at" "57609"
"702" "1553272_at" "206358"
"703" "1553274_a_at" "154007"
"704" "1553276_at" "147741"
"705" "1553277_at" "25914"
"706" "1553279_at" "153579"
"707" "1553280_at" "150962"
"708" "1553281_at" "257068"
"709" "1553282_at" "150147"
"710" "1553284_s_at" "89782"
"711" "1553285_s_at" "144715"
"712" "1553286_at" "148254"
"713" "1553288_a_at" "222950"
"714" "1553292_s_at" "124923"
"715" "1553293_at" "117195"
"716" "1553295_at" "154664"
"717" "1553296_at" "84873"
"718" "1553297_a_at" "1441"
"719" "1553298_at" "146723"
"720" "1553299_at" "574029"
"721" "1553300_a_at" "160851"
"722" "1553301_a_at" "130827"
"723" "1553303_at" "123775"
"724" "1553304_at" "149986"
"725" "1553306_at" "841"
"726" "1553310_at" "151056"
"727" "1553311_at" "284756"
"728" "1553313_s_at" "6526"
"729" "1553314_a_at" "124602"
"730" "1553315_at" "200172"
"731" "1553316_at" "27197"
"732" "1553317_s_at" "27197"
"733" "1553318_at" "158787"
"734" "1553319_at" "27199"
"735" "1553320_s_at" "168448"
"736" "1553321_a_at" "27233"
"737" "1553322_s_at" "7003"
"738" "1553323_a_at" "117155"
"739" "1553325_at" "134187"
"740" "1553326_at" "122042"
"741" "1553327_a_at" "222389"
"742" "1553328_a_at" "6571"
"743" "1553329_at" "136263"
"744" "1553330_at" "136263"
"745" "1553333_at" "126868"
"746" "1553335_x_at" "285696"
"747" "1553336_a_at" "166968"
"748" "1553338_at" "163859"
"749" "1553341_at" "131669"
"750" "1553344_at" "65217"
"751" "1553346_a_at" "27327"
"752" "1553347_s_at" "3742"
"753" "1553348_a_at" "4799"
"754" "1553349_at" "196528"
"755" "1553350_at" "205147"
"756" "1553351_at" "161725"
"757" "1553352_x_at" "30816"
"758" "1553354_a_at" "143153"
"759" "1553357_at" "158696"
"760" "1553359_at" "80028"
"761" "1553361_x_at" "80028"
"762" "1553362_at" "1768"
"763" "1553363_at" "154386"
"764" "1553364_at" "285848"
"765" "1553365_at" "120863"
"766" "1553367_a_at" "125965"
"767" "1553369_at" "199786"
"768" "1553371_at" "284656"
"769" "1553373_at" "128025"
"770" "1553374_at" "55412"
"771" "1553375_at" "114781"
"772" "1553376_a_at" "126859"
"773" "1553378_a_at" "256957"
"774" "1553380_at" "165631"
"775" "1553383_at" "143872"
"776" "1553385_at" "84931"
"777" "1553386_at" "84879"
"778" "1553387_at" "472"
"779" "1553388_at" "221301"
"780" "1553389_at" "27031"
"781" "1553390_at" "285973"
"782" "1553391_at" "254158"
"783" "1553392_at" "146779"
"784" "1553394_a_at" "7021"
"785" "1553395_a_at" "131450"
"786" "1553396_a_at" "152206"
"787" "1553397_at" "152206"
"788" "1553399_a_at" "147081"
"789" "1553400_a_at" "147081"
"790" "1553401_at" "259249"
"791" "1553402_a_at" "3077"
"792" "1553403_at" "117579"
"793" "1553405_a_at" "64478"
"794" "1553407_at" "23499"
"795" "1553409_at" "80070"
"796" "1553410_a_at" "94160"
"797" "1553411_s_at" "27164"
"798" "1553412_at" "84871"
"799" "1553413_at" "80078"
"800" "1553415_at" "246213"
"801" "1553417_at" "283171"
"802" "1553418_a_at" "129684"
"803" "1553420_at" "150538"
"804" "1553422_s_at" "54715"
"805" "1553423_a_at" "146857"
"806" "1553424_at" "283461"
"807" "1553425_at" "149465"
"808" "1553426_at" "285668"
"809" "1553427_at" "170689"
"810" "1553428_at" "285780"
"811" "1553429_at" "158263"
"812" "1553430_a_at" "128178"
"813" "1553433_at" "203238"
"814" "1553434_at" "163720"
"815" "1553435_at" "147276"
"816" "1553436_at" "283463"
"817" "1553437_at" "127707"
"818" "1553438_at" "100505621"
"819" "1553440_at" "147429"
"820" "1553441_at" "85445"
"821" "1553442_a_at" "85445"
"822" "1553443_at" "439941"
"823" "1553444_a_at" "148345"
"824" "1553446_at" "389422"
"825" "1553447_at" "123624"
"826" "1553448_at" "285759"
"827" "1553449_at" "283860"
"828" "1553450_s_at" "283860"
"829" "1553451_at" "283847"
"830" "1553452_at" "283446"
"831" "1553453_at" "142686"
"832" "1553454_at" "126638"
"833" "1553458_at" "196740"
"834" "1553459_at" "284992"
"835" "1553460_at" "285051"
"836" "1553461_at" "171483"
"837" "1553464_at" "286023"
"838" "1553465_a_at" "221223"
"839" "1553466_at" "286464"
"840" "1553467_at" "439944"
"841" "1553470_at" "8632"
"842" "1553471_at" "146861"
"843" "1553472_at" "150596"
"844" "1553475_at" "55448"
"845" "1553478_at" "283165"
"846" "1553479_at" "284339"
"847" "1553482_at" "145858"
"848" "1553483_at" "254187"
"849" "1553484_at" "144360"
"850" "1553485_at" "151278"
"851" "1553486_a_at" "284099"
"852" "1553488_at" "146279"
"853" "1553489_a_at" "146279"
"854" "1553491_at" "283455"
"855" "1553492_a_at" "5075"
"856" "1553493_a_at" "157739"
"857" "1553494_at" "157739"
"858" "1553497_at" "439916"
"859" "1553499_s_at" "327657"
"860" "1553500_at" "26223"
"861" "1553504_at" "117196"
"862" "1553505_at" "144568"
"863" "1553506_at" "130749"
"864" "1553507_a_at" "2830"
"865" "1553508_at" "259283"
"866" "1553510_s_at" "9125"
"867" "1553511_at" "125111"
"868" "1553512_at" "3228"
"869" "1553513_at" "55350"
"870" "1553514_a_at" "55350"
"871" "1553515_at" "150678"
"872" "1553517_at" "222894"
"873" "1553519_at" "246705"
"874" "1553523_at" "338323"
"875" "1553524_at" "1607"
"876" "1553525_at" "126204"
"877" "1553526_at" "126205"
"878" "1553527_at" "338321"
"879" "1553528_a_at" "6877"
"880" "1553529_at" "80834"
"881" "1553530_a_at" "3688"
"882" "1553531_at" "5046"
